,id,cluster
1256,700,2
1257,159,1
1258,796,4
1259,1363,7
1260,275,2
1261,2287,0
1262,1781,6
1263,1065,3
1264,204,1
1265,1650,3
1266,2466,1
1267,2331,0
1268,400,0
1269,2355,1
1270,1549,0
1271,886,0
1272,340,0
1273,1968,5
1274,1846,6
1275,2244,1
1276,361,4
1277,3,0
1278,2150,0
1279,1067,2
1280,98,6
1281,345,1
1282,1481,7
1283,739,0
1284,1898,7
1285,2135,2
1286,1947,2
1287,2419,1
1288,1864,0
1289,2248,0
1290,906,6
1291,1926,6
1292,1373,7
1293,510,0
1294,254,3
1295,1818,3
1296,392,4
1297,2239,1
1298,986,5
1299,1035,7
1300,736,1
1301,37,0
1302,1267,6
1303,1738,7
1304,1634,7
1305,1368,7
1306,548,0
1307,580,5
1308,1165,5
1309,958,4
1310,1211,7
1311,269,3
1312,1895,0
1313,829,5
1314,492,4
1315,741,3
1316,2192,1
1317,1441,5
1318,2350,5
1319,674,6
1320,1903,6
1321,2068,5
1322,844,6
1323,1159,1
1324,2114,7
1325,1767,5
1326,811,6
1327,1978,7
1328,2462,2
1329,2396,1
1330,1181,5
1331,2298,2
1332,1577,6
1333,1202,7
1334,2006,6
1335,14,6
1336,309,7
1337,1077,0
1338,524,1
1339,773,0
1340,2367,2
1341,1161,4
1342,1478,3
1343,388,7
1344,2346,0
1345,1806,1
1346,2127,3
1347,187,5
1348,1995,7
1349,1087,5
1350,1561,5
1351,765,7
1352,715,3
1353,559,2
1354,1973,1
1355,642,7
1356,1417,5
1357,1855,1
1358,1429,7
1359,1788,7
1360,447,0
1361,2094,0
1362,448,4
1363,165,1
1364,905,1
1365,594,2
1366,1608,3
1367,1521,1
1368,1310,0
1369,573,2
1370,1314,1
1371,2455,0
1372,2315,0
1373,1871,5
1374,1622,1
1375,1418,1
1376,1747,6
1377,2344,7
1378,1223,7
1379,185,5
1380,1953,5
1381,1684,7
1382,2336,3
1383,2008,1
1384,76,1
1385,792,7
1386,1109,2
1387,421,5
1388,2195,0
1389,1929,7
1390,2015,0
1391,2457,7
1392,1291,0
1393,1921,0
1394,1245,5
1395,561,0
1396,136,7
1397,1707,0
1398,740,0
1399,1875,6
1400,1556,3
1401,611,0
1402,576,5
1403,788,5
1404,543,4
1405,1566,1
1406,426,2
1407,1414,7
1408,1844,2
1409,2173,1
1410,1558,6
1411,926,5
1412,786,1
1413,1172,7
1414,1290,2
1415,2340,7
1416,475,0
1417,997,7
1418,244,6
1419,2065,5
1420,1795,1
1421,2357,3
1422,884,0
1423,1768,2
1424,1716,0
1425,1303,6
1426,2486,1
1427,482,3
1428,1238,7
1429,1772,1
1430,324,4
1431,1664,2
1432,167,0
1433,1185,2
1434,953,3
1435,2459,0
1436,955,4
1437,1488,6
1438,1498,4
1439,843,4
1440,2494,7
1441,26,0
1442,2424,4
1443,589,0
1444,1633,0
1445,491,1
1446,810,3
1447,1893,5
1448,216,5
1449,959,5
1450,2372,1
1451,993,5
1452,2119,0
1453,2036,1
1454,1082,0
1455,2256,0
1456,1573,0
1457,1025,5
1458,248,7
1459,862,1
1460,2163,5
1461,591,5
1462,2365,3
1463,188,5
1464,1640,1
1465,1731,5
1466,556,0
1467,806,0
1468,2471,7
1469,2253,0
1470,1852,5
1471,1046,6
1472,994,0
1473,1816,0
1474,1284,2
1475,2356,2
1476,1205,1
1477,1737,0
1478,44,5
1479,970,7
1480,1882,2
1481,668,7
1482,1961,5
1483,2429,7
1484,1012,2
1485,1361,0
1486,857,0
1487,432,7
1488,2225,5
